		V;NFIN
ancùntevan	cùnter	V;IND;PST;1;PL;IPFV
ancùntevas	cùnter	V;IND;PST;2;SG;IPFV
ancùntez	cùnter	V;IND;PRS;2;PL
ancùnti	cùnter	V;SBJV;PRS;1;SG
ancùntian	cùnter	V;SBJV;PRS;3;PL
ancùntias	cùnter	V;SBJV;PRS;2;SG
ancùntida	cùnter	V.PTCP;PST;FEM;SG
ancùntidas	cùnter	V.PTCP;PST;FEM;PL
ancùntieu	cùnter	V.PTCP;PST;MASC;SG
ancùntieus	cùnter	V.PTCP;PST;MASC;PL
ancùntànd	cùnter	V.PTCP;PRS
andagn	ender	V;IND;PRS;1;PL
anded	ender	V;IMP;2;PL
andeian	ender	V;SBJV;PRS;1;PL
andeias	ender	V;SBJV;PRS;2;PL
andess	ender	V;COND;3;SG
andessan	ender	V;COND;1;PL
andessas	ender	V;COND;2;PL
andeva	ender	V;IND;PST;1;SG;IPFV
andevan	ender	V;IND;PST;1;PL;IPFV
andevas	ender	V;IND;PST;2;SG;IPFV
andez	ender	V;IND;PRS;2;PL
andida	ender	V.PTCP;PST;FEM;SG
andidas	ender	V.PTCP;PST;FEM;PL
andieu	ender	V.PTCP;PST;MASC;SG
andieus	ender	V.PTCP;PST;MASC;PL
andànd	ender	V.PTCP;PRS
anquagl	cugliear	V;IND;PRS;1;SG
anquagli	cugliear	V;SBJV;PRS;1;SG
anquaglia	cugliear	V;IMP;2;SG
anquaglian	cugliear	V;IND;PRS;3;PL
anquaglias	cugliear	V;IND;PRS;2;SG
anquagliel	cugliear	V;IND;PRS;1;SG
anquiel	culir	V;IND;PRS;1;SG
anquiela	culir	V;IMP;2;SG
anquielan	culir	V;IND;PRS;3;PL
anquielas	culir	V;IND;PRS;2;SG
anquielel	culir	V;IND;PRS;1;SG
anquieli	culir	V;SBJV;PRS;1;SG
anquielian	culir	V;SBJV;PRS;3;PL
anquielias	culir	V;SBJV;PRS;2;SG
anschagn	ànscher	V;IND;PRS;1;PL
ansched	ànscher	V;IMP;2;PL
anscheian	ànscher	V;SBJV;PRS;1;PL
anscheias	ànscher	V;SBJV;PRS;2;PL
anschess	ànscher	V;COND;3;SG
anschessan	ànscher	V;COND;1;PL
anschessas	ànscher	V;COND;2;PL
anscheva	ànscher	V;IND;PST;1;SG;IPFV
anschevan	ànscher	V;IND;PST;3;PL;IPFV
anschevas	ànscher	V;IND;PST;2;PL;IPFV
anschez	ànscher	V;IND;PRS;2;PL
anschida	ànscher	V.PTCP;PST;FEM;SG
anschidas	ànscher	V.PTCP;PST;FEM;PL
anschieu	ànscher	V.PTCP;PST;MASC;SG
anschieus	ànscher	V.PTCP;PST;MASC;PL
anschieuv	schuar	V;IND;PRS;1;SG
anschieuva	schuar	V;IND;PRS;3;SG
anschieuvan	schuar	V;IND;PRS;3;PL
anschieuvas	schuar	V;IND;PRS;2;SG
anschieuvel	schuar	V;IND;PRS;1;SG
anschieuvi	schuar	V;SBJV;PRS;1;SG
anschieuvian	schuar	V;SBJV;PRS;3;PL
anschieuvias	schuar	V;SBJV;PRS;2;SG
anschuad	schuar	V;IMP;2;PL
anschuada	schuar	V.PTCP;PST;FEM;SG
anschuadas	schuar	V.PTCP;PST;FEM;PL
anschuagn	schuar	V;IND;PRS;1;PL
anschuar	schuar	V;IND;FUT;2;SG
anschuass	schuar	V;COND;3;SG
anschuassan	schuar	V;COND;3;PL
anschuassas	schuar	V;COND;2;PL
anschuava	schuar	V;IND;PST;3;SG;IPFV
anschuavan	schuar	V;IND;PST;3;PL;IPFV
anschuavas	schuar	V;IND;PST;2;SG;IPFV
anschuaz	schuar	V;IND;PRS;2;PL
anschueian	schuar	V;SBJV;PRS;1;PL
anschueias	schuar	V;SBJV;PRS;2;PL
anschuo	schuar	V.PTCP;PST;MASC;SG
anschuos	schuar	V.PTCP;PST;MASC;PL
anschuànd	schuar	V.PTCP;PRS
anschànd	ànscher	V.PTCP;PRS
antschagn	entscher	V;IND;PRS;1;PL
antschartgagn	tschartgear	V;IND;PRS;1;PL
antschartgead	tschartgear	V;IMP;2;PL
antschartgeada	tschartgear	V.PTCP;PST;FEM;SG
antschartgeadas	tschartgear	V.PTCP;PST;FEM;PL
antschartgear	tschartgear	V;IND;FUT;3;SG
antschartgeava	tschartgear	V;IND;PST;1;SG;IPFV
antschartgeavan	tschartgear	V;IND;PST;1;PL;IPFV
antschartgeavas	tschartgear	V;IND;PST;2;PL;IPFV
antschartgeaz	tschartgear	V;IND;PRS;2;PL
antschartgeian	tschartgear	V;SBJV;PRS;1;PL
antschartgeias	tschartgear	V;SBJV;PRS;2;PL
antschartgess	tschartgear	V;COND;1;SG
antschartgessan	tschartgear	V;COND;3;PL
antschartgessas	tschartgear	V;COND;2;SG
antschartgieu	tschartgear	V.PTCP;PST;MASC;SG
antschartgieus	tschartgear	V.PTCP;PST;MASC;PL
antschartgànd	tschartgear	V.PTCP;PRS
antscheartg	tschartgear	V;IND;PRS;1;SG
antscheartga	tschartgear	V;IND;PRS;3;SG
antscheartgan	tschartgear	V;IND;PRS;3;PL
antscheartgas	tschartgear	V;SBJV;PRS;2;SG
antscheartgel	tschartgear	V;IND;PRS;1;SG
antscheartgi	tschartgear	V;SBJV;PRS;1;SG
antscheartgian	tschartgear	V;SBJV;PRS;3;PL
antscheartgias	tschartgear	V;SBJV;PRS;2;SG
antsched	entscher	V;IMP;2;PL
antscheian	entscher	V;SBJV;PRS;1;PL
antscheias	entscher	V;SBJV;PRS;2;PL
antschess	entscher	V;COND;3;SG
antschessan	entscher	V;COND;1;PL
antschessas	entscher	V;COND;2;PL
antscheva	entscher	V;IND;PST;1;SG;IPFV
antschevan	entscher	V;IND;PST;3;PL;IPFV
antschevas	entscher	V;IND;PST;2;PL;IPFV
antschez	entscher	V;IND;PRS;2;PL
antschida	entscher	V.PTCP;PST;FEM;SG
antschidas	entscher	V.PTCP;PST;FEM;PL
antschieu	entscher	V.PTCP;PST;MASC;SG
antschieus	entscher	V.PTCP;PST;MASC;PL
antschànd	entscher	V.PTCP;PRS
anvid	vidar	V;IND;PRS;1;SG
anvida	vidar	V;IMP;2;SG
anvidad	vidar	V;IMP;2;PL
anvidada	vidar	V.PTCP;PST;FEM;SG
anvidadas	vidar	V.PTCP;PST;FEM;PL
anvidagn	vidar	V;IND;PRS;1;PL
anvidan	vidar	V;SBJV;PRS;3;PL
anvidar	vidar	V;IND;FUT;3;PL
anvidas	vidar	V;IND;PRS;2;SG
anvidass	vidar	V;COND;3;SG
anvidassan	vidar	V;COND;3;PL
anvidassas	vidar	V;COND;2;PL
anvidava	vidar	V;IND;PST;1;SG;IPFV
anvidavan	vidar	V;IND;PST;1;PL;IPFV
anvidavas	vidar	V;IND;PST;2;SG;IPFV
anvidaz	vidar	V;IND;PRS;2;PL
anvideian	vidar	V;SBJV;PRS;1;PL
anvideias	vidar	V;SBJV;PRS;2;PL
anvidel	vidar	V;IND;PRS;1;SG
anvidi	vidar	V;SBJV;PRS;3;SG
anvidian	vidar	V;SBJV;PRS;3;PL
anvidias	vidar	V;SBJV;PRS;2;SG
anvido	vidar	V.PTCP;PST;MASC;SG
anvidos	vidar	V.PTCP;PST;MASC;PL
anvidànd	vidar	V.PTCP;PRS
anzielt	zolver	V.PTCP;PST;MASC;SG
anzielta	zolver	V.PTCP;PST;FEM;SG
anzieltas	zolver	V.PTCP;PST;FEM;PL
anzielts	zolver	V.PTCP;PST;MASC;PL
anzolv	zolver	V;IND;PRS;1;SG
anzolva	zolver	V;IMP;2;SG
anzolvan	zolver	V;SBJV;PRS;3;PL
anzolvas	zolver	V;IND;PRS;2;SG
anzolvel	zolver	V;IND;PRS;1;SG
anzolver	zolver	V;IND;FUT;1;SG
anzolvi	zolver	V;SBJV;PRS;1;SG
anzolvian	zolver	V;SBJV;PRS;3;PL
anzolvias	zolver	V;SBJV;PRS;2;SG
anzugl	zugliear	V;IND;PRS;1;SG
anzugli	zugliear	V;SBJV;PRS;1;SG
anzuglia	zugliear	V;IMP;2;SG
anzugliagn	zugliear	V;IND;PRS;1;PL
anzuglian	zugliear	V;IND;PRS;3;PL
anzuglias	zugliear	V;IND;PRS;2;SG
anzugliead	zugliear	V;IMP;2;PL
anzuglieada	zugliear	V.PTCP;PST;FEM;SG
anzuglieadas	zugliear	V.PTCP;PST;FEM;PL
anzugliear	zugliear	V;IND;FUT;3;PL
anzuglieava	zugliear	V;IND;PST;1;SG;IPFV
anzuglieavan	zugliear	V;IND;PST;1;PL;IPFV
anzuglieavas	zugliear	V;IND;PST;2;SG;IPFV
anzuglieaz	zugliear	V;IND;PRS;2;PL
anzuglieian	zugliear	V;SBJV;PRS;1;PL
anzuglieias	zugliear	V;SBJV;PRS;2;PL
anzugliel	zugliear	V;IND;PRS;1;SG
anzugliess	zugliear	V;COND;3;SG
anzugliessan	zugliear	V;COND;3;PL
anzugliessas	zugliear	V;COND;2;SG
anzuglieu	zugliear	V.PTCP;PST;MASC;SG
anzuglieus	zugliear	V.PTCP;PST;MASC;PL
anzugliànd	zugliear	V.PTCP;PRS
anzulvagn	zolver	V;IND;PRS;1;PL
anzulved	zolver	V;IMP;2;PL
anzulveian	zolver	V;SBJV;PRS;1;PL
anzulveias	zolver	V;SBJV;PRS;2;PL
anzulvess	zolver	V;COND;3;SG
anzulvessan	zolver	V;COND;1;PL
anzulvessas	zolver	V;COND;2;SG
anzulveva	zolver	V;IND;PST;3;SG;IPFV
anzulvevan	zolver	V;IND;PST;3;PL;IPFV
anzulvevas	zolver	V;IND;PST;2;PL;IPFV
anzulvez	zolver	V;IND;PRS;2;PL
anzulvànd	zolver	V.PTCP;PRS
apùn	upanar	V;IND;PRS;1;SG
apùna	upanar	V;IMP;2;SG
apùnan	upanar	V;IND;PRS;3;PL
apùnas	upanar	V;SBJV;PRS;2;SG
apùnel	upanar	V;IND;PRS;1;SG
apùni	upanar	V;SBJV;PRS;1;SG
apùnian	upanar	V;SBJV;PRS;3;PL
apùnias	upanar	V;SBJV;PRS;2;SG
ar	ear	V;IND;FUT;1;SG
ar	er	V;IND;FUT;3;PL
arbugl	urbagliear	V;IND;PRS;1;SG
arbugli	urbagliear	V;SBJV;PRS;1;SG
arbuglia	urbagliear	V;SBJV;PRS;3;SG
arbuglian	urbagliear	V;SBJV;PRS;3;PL
arbuglias	urbagliear	V;SBJV;PRS;2;SG
arbugliel	urbagliear	V;IND;PRS;1;SG
ard	urdar	V;IND;PRS;1;SG
arda	urdar	V;IMP;2;SG
ardagn	earder	V;IND;PRS;1;PL
ardan	urdar	V;IND;PRS;3;PL
ardas	urdar	V;SBJV;PRS;2;SG
