		ADJ;MASC;SG
ọrta	ort	ADJ;FEM;SG
ọsa	os	ADJ;FEM;SG
ọsas	os	ADJ;FEM;PL
ọscha	osch	ADJ;FEM;SG
ọssa	oss	ADJ;FEM;SG
ọssas	oss	ADJ;FEM;PL
ọsta	ost	ADJ;FEM;SG
ọtscha	otsch	ADJ;FEM;SG
ọtta	ot	ADJ;FEM;SG
ụcca	uc	ADJ;FEM;SG
ụcsa	ucs	ADJ;FEM;SG
ụffa	uf	ADJ;FEM;SG
ụla	ul	ADJ;FEM;SG
ụna	un	ADJ;FEM;SG
ụnca	unc	ADJ;FEM;SG
ụnga	ung	ADJ;FEM;SG
ụnṣa	undscher	ADJ;FEM;SG
ụnṣas	undscher	ADJ;FEM;PL
ụrba	urb	ADJ;FEM;SG
ụrda	urd	ADJ;FEM;SG
ụs	uonder	ADJ;MASC;PL
ụsa	uns	ADJ;FEM;SG
ụsa	uonder	ADJ;FEM;SG
ụsas	uns	ADJ;FEM;PL
ụsas	uonder	ADJ;FEM;PL
ụssa	uojer	ADJ;FEM;SG
ụssa	us	ADJ;FEM;SG
ụssa	uss	ADJ;FEM;SG
ụssas	uojer	ADJ;FEM;PL
ụssas	us	ADJ;FEM;PL
ụtscha	utsch	ADJ;FEM;SG
ụtta	ut	ADJ;FEM;SG
ụzza	uz	ADJ;FEM;SG
ụzzarlạna	uzzạrlan	ADJ;FEM;SG
ụṣa	uonder	ADJ;FEM;SG
ụṣa	us	ADJ;FEM;SG
ụṣas	uonder	ADJ;FEM;PL
ụṣas	us	ADJ;FEM;PL
